Column,Unique Values,Top Categories (value count),Most Frequent,Most Frequent Count
Type,4,DEBIT (69295); TRANSFER (49883); PAYMENT (41725); CASH (19616),DEBIT,69295
Delivery Status,4,Late delivery (98977); Advance shipping (41592); Shipping on time (32196); Shipping canceled (7754),Late delivery,98977
Category Name,50,Cleats (24551); Men's Footwear (22246); Women's Apparel (21035); Indoor/Outdoor Games (19298); Fishing (17325); Water Sports (15540); Camping & Hiking (13729); Cardio Equipment (12487); Shop By Sport (10984); Electronics (3156),Cleats,24551
Customer City,563,Caguas (66770); Chicago (3885); Los Angeles (3417); Brooklyn (3412); New York (1816); Philadelphia (1577); Bronx (1500); San Diego (1437); Miami (1314); Houston (1297),Caguas,66770
Customer Country,2,EE. UU. (111146); Puerto Rico (69373),EE. UU.,111146
Customer Email,1,XXXXXXXXX (180519),XXXXXXXXX,180519
Customer Fname,782,Mary (65150); James (1835); Robert (1759); Michael (1680); David (1625); John (1446); William (1365); Joseph (1117); Jennifer (1033); Richard (1032),Mary,65150
Customer Lname,1109,Smith (64104); Johnson (989); Brown (909); Williams (869); Jones (859); Garcia (724); Wilson (675); Taylor (661); Davis (640); Moore (599),Smith,64104
Customer Password,1,XXXXXXXXX (180519),XXXXXXXXX,180519
Customer Segment,3,Consumer (93504); Corporate (54789); Home Office (32226),Consumer,93504
Customer State,46,PR (69373); CA (29223); NY (11327); TX (9103); IL (7631); FL (5456); OH (4095); PA (3824); MI (3804); NJ (3191),PR,69373
Customer Street,7458,9126 Wishing Expressway (122); 4388 Burning Goose Ridge (117); 4720 Noble Hills Wynd (116); 2878 Hazy Wagon  Thicket (113); 398 Emerald Grove (109); 3593 Blue Brook Acres (108); 2210 Merry Leaf Row (107); 6289 Rocky Way (107); 2585 Silent Autumn Landing (105); 141 Dewy Plaza (103),9126 Wishing Expressway,122
Department Name,11,Fan Shop (66861); Apparel (48998); Golf (33220); Footwear (14525); Outdoors (9686); Fitness (2479); Discs Shop (2026); Technology (1465); Pet Shop (492); Book Shop (405),Fan Shop,66861
Market,5,LATAM (51594); Europe (50252); Pacific Asia (41260); USCA (25799); Africa (11614),LATAM,51594
Order City,3597,Santo Domingo (2211); New York City (2202); Los Angeles (1845); Tegucigalpa (1783); Managua (1682); Mexico City (1484); Manila (1381); Philadelphia (1302); San Francisco (1297); London (1187),Santo Domingo,2211
Order Country,164,Estados Unidos (24840); Francia (13222); México (13172); Alemania (9564); Australia (8497); Brasil (7987); Reino Unido (7302); China (5758); Italia (4989); India (4783),Estados Unidos,24840
order date (DateOrders),65752,1/4/2017 2:28 (5); 4/1/2015 19:29 (5); 11/23/2016 9:11 (5); 6/17/2016 7:29 (5); 7/8/2016 13:56 (5); 4/1/2016 16:52 (5); 8/26/2016 7:23 (5); 2/10/2016 17:49 (5); 12/3/2015 5:29 (5); 9/5/2017 8:47 (5),1/4/2017 2:28,5
Order Region,23,Central America (28341); Western Europe (27109); South America (14935); Oceania (10148); Northern Europe (9792); Southeast Asia (9539); Southern Europe (9431); Caribbean (8318); West of USA  (7993); South Asia (7731),Central America,28341
Order State,1089,Inglaterra (6722); California (4966); Isla de Francia (4580); Renania del Norte-Westfalia (3303); San Salvador (3055); Nueva York (2753); Distrito Federal (2559); Texas (2446); Nueva Gales del Sur (2370); Santo Domingo (2211),Inglaterra,6722
Order Status,9,COMPLETE (59491); PENDING_PAYMENT (39832); PROCESSING (21902); PENDING (20227); CLOSED (19616); ON_HOLD (9804); SUSPECTED_FRAUD (4062); CANCELED (3692); PAYMENT_REVIEW (1893),COMPLETE,59491
Product Image,118,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck (24515); http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat (22246); http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo (21035); http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest (19298); http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe (17325); http://images.acmesports.sports/Pelican+Sunstream+100+Kayak (15500); http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014 (13729); http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe (12169); http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe (10617); http://images.acmesports.sports/Fighting+video+games (838),http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,24515
Product Name,118,Perfect Fitness Perfect Rip Deck (24515); Nike Men's CJ Elite 2 TD Football Cleat (22246); Nike Men's Dri-FIT Victory Golf Polo (21035); O'Brien Men's Neoprene Life Vest (19298); Field & Stream Sportsman 16 Gun Fire Safe (17325); Pelican Sunstream 100 Kayak (15500); Diamondback Women's Serene Classic Comfort Bi (13729); Nike Men's Free 5.0+ Running Shoe (12169); Under Armour Girls' Toddler Spine Surge Runni (10617); Fighting video games (838),Perfect Fitness Perfect Rip Deck,24515
shipping date (DateOrders),63701,4/17/2015 22:16 (10); 3/16/2016 3:14 (10); 3/16/2017 5:00 (10); 11/6/2015 23:55 (10); 7/5/2017 10:59 (10); 8/22/2017 2:30 (10); 2/23/2016 0:28 (10); 3/5/2015 15:51 (10); 11/15/2016 13:45 (10); 2/12/2016 18:52 (10),4/17/2015 22:16,10
Shipping Mode,4,Standard Class (107752); Second Class (35216); First Class (27814); Same Day (9737),Standard Class,107752
Late_delivery_risk,2,1 (98977); 0 (81542),1,98977
Product Status,1,0 (180519),0,180519
